time_of_day,location_type,incidents,streetlights,police_patrol,crowd_level,distance_from_home,risk_level
night,isolated,4,no,medium,low,2.43,High
evening,isolated,5,yes,high,medium,0.46,Low
afternoon,rural,1,no,medium,low,3.3,Medium
night,urban,0,no,high,medium,0.28,Medium
night,urban,8,no,medium,low,4.24,High
morning,isolated,10,no,medium,high,2.77,Medium
night,isolated,7,yes,medium,high,3.57,High
morning,urban,4,yes,low,high,0.46,Low
evening,isolated,7,no,medium,medium,0.33,Medium
evening,rural,10,no,low,medium,0.59,High
night,isolated,8,no,medium,medium,1.7,High
evening,rural,0,yes,high,low,0.73,Low
evening,isolated,2,no,medium,low,4.4,High
night,urban,10,yes,low,low,1.43,High
morning,isolated,9,yes,low,high,2.66,Medium
evening,rural,5,yes,high,low,4.43,Medium
evening,rural,9,yes,medium,high,4.55,Medium
night,urban,1,no,low,high,3.2,High
afternoon,rural,4,yes,high,medium,3.73,Low
evening,urban,3,yes,high,low,1.81,Low
morning,rural,6,yes,medium,medium,3.69,Medium
afternoon,isolated,1,no,low,high,3.67,Medium
evening,rural,0,no,low,medium,2.94,Medium
morning,rural,1,no,high,low,3.18,Medium
night,rural,1,yes,medium,medium,2.09,Medium
morning,urban,3,no,low,low,3.79,High
evening,rural,4,no,high,high,3.92,Medium
afternoon,urban,5,no,high,medium,3.18,Medium
night,rural,1,no,high,medium,2.64,Medium
afternoon,rural,5,yes,high,high,4.53,Low
morning,urban,7,no,medium,medium,4.23,High
afternoon,urban,5,yes,low,medium,2.62,Medium
night,isolated,3,yes,low,medium,2.11,Medium
morning,urban,3,yes,low,medium,4.07,Medium
morning,urban,1,yes,low,low,2.16,Medium
evening,rural,10,no,medium,high,2.63,High
night,urban,9,no,high,low,1.84,High
night,urban,9,yes,high,medium,1.9,Medium
night,isolated,8,no,low,high,3.56,High
afternoon,urban,4,no,low,high,3.58,Medium
afternoon,urban,6,no,medium,medium,3.16,High
night,rural,2,no,low,medium,3.88,High
afternoon,urban,6,yes,high,medium,2.87,Low
morning,rural,8,yes,medium,low,3.09,Medium
night,isolated,10,no,low,medium,3.5,High
night,isolated,7,yes,high,high,4.22,Medium
night,urban,3,no,low,high,2.7,High
morning,isolated,1,no,low,medium,0.54,Medium
evening,isolated,4,no,medium,low,2.81,High
morning,urban,3,yes,medium,low,4.24,Medium
evening,rural,6,yes,low,medium,4.58,High
afternoon,urban,6,yes,high,medium,0.21,Low
afternoon,urban,3,no,high,medium,1.98,Low
morning,rural,1,yes,low,low,0.4,Low
evening,rural,1,no,high,high,3.4,Medium
afternoon,urban,2,yes,high,high,1.24,Low
evening,isolated,0,yes,low,low,1.31,Medium
morning,isolated,8,yes,low,medium,1.34,Medium
afternoon,isolated,6,yes,high,low,1.81,Low
evening,isolated,6,yes,high,low,1.16,Medium
afternoon,rural,3,yes,high,low,1.78,Low
evening,rural,6,yes,medium,high,2.45,Medium
night,urban,3,yes,low,medium,3.35,High
morning,isolated,5,yes,low,low,0.9,Medium
night,rural,10,yes,medium,medium,4.19,High
afternoon,isolated,1,yes,high,low,3.75,Low
evening,urban,3,no,high,low,2.96,Medium
night,isolated,8,yes,medium,high,3.2,High
evening,rural,5,no,low,medium,4.51,High
evening,isolated,1,yes,low,medium,2.65,Medium
morning,rural,5,yes,high,medium,2.21,Low
evening,rural,2,yes,high,low,4.74,Medium
afternoon,rural,7,no,high,high,2.67,Medium
night,rural,9,no,high,medium,2.68,High
night,urban,0,yes,medium,medium,4.8,Medium
morning,isolated,6,no,medium,high,4.36,Medium
night,isolated,9,yes,high,medium,4.24,High
night,rural,0,no,medium,medium,2.99,High
morning,urban,6,yes,medium,high,1.33,Low
afternoon,isolated,0,yes,high,medium,3.39,Low
night,urban,7,yes,high,medium,1.1,Medium
afternoon,rural,4,no,high,medium,4.42,Medium
evening,urban,2,yes,low,low,4.5,Medium
night,isolated,9,yes,medium,medium,1.6,High
night,rural,6,no,high,medium,4.91,High
morning,isolated,0,yes,low,low,0.9,Low
afternoon,isolated,10,no,medium,medium,1.13,Medium
morning,isolated,7,yes,high,medium,1.67,Low
morning,isolated,1,no,low,medium,0.2,Medium
morning,urban,5,yes,high,low,4.17,Medium
morning,urban,2,yes,medium,high,4.18,Low
morning,rural,5,yes,low,medium,4.78,Medium
night,isolated,5,yes,medium,high,2.04,Medium
afternoon,rural,0,no,medium,high,2.43,Low
night,isolated,9,no,high,high,2.02,High
morning,rural,8,no,low,low,4.1,High
afternoon,urban,5,no,high,high,0.7,Low
night,rural,3,yes,medium,low,0.85,Medium
afternoon,urban,1,no,low,low,2.61,Medium
morning,isolated,5,yes,high,medium,2.96,Low
evening,isolated,7,no,low,high,1.1,Medium
night,isolated,2,no,low,medium,0.56,High
afternoon,isolated,3,no,low,medium,2.57,Medium
night,isolated,5,yes,medium,high,2.76,Medium
night,isolated,4,yes,medium,low,2.53,High
afternoon,rural,2,no,high,high,2.04,Low
evening,urban,9,yes,low,high,1.45,Medium
afternoon,isolated,0,yes,low,high,3.51,Low
afternoon,isolated,0,no,medium,high,2.32,Low
morning,isolated,2,no,medium,high,3.18,Medium
night,rural,4,yes,low,low,0.81,High
morning,urban,7,yes,medium,high,0.75,Low
night,urban,8,no,medium,low,1.46,High
afternoon,isolated,1,yes,low,high,2.42,Low
morning,rural,7,no,medium,medium,1.21,Medium
morning,isolated,4,yes,high,medium,3.36,Low
afternoon,isolated,7,yes,high,high,4.38,Low
evening,urban,3,no,high,high,2.39,Low
afternoon,rural,8,yes,high,low,0.75,Low
night,rural,10,no,high,medium,0.7,High
morning,isolated,6,yes,medium,high,2.44,Low
night,rural,2,yes,high,high,4.66,Medium
night,rural,0,yes,high,low,3.48,Medium
morning,isolated,1,no,high,medium,0.66,Low
evening,rural,6,no,low,medium,2.25,High
morning,urban,8,no,low,high,1.89,Medium
morning,urban,3,no,low,high,0.77,Low
evening,urban,9,no,low,low,2.0,High
evening,rural,7,no,medium,high,3.78,High
night,urban,7,no,low,high,0.21,High
afternoon,isolated,6,no,high,medium,1.98,Medium
morning,isolated,8,no,medium,medium,0.46,Medium
afternoon,isolated,7,yes,medium,low,1.03,Medium
morning,isolated,8,no,medium,low,2.64,High
evening,rural,8,no,low,low,0.98,High
night,urban,6,yes,medium,high,0.7,Medium
morning,urban,0,yes,low,high,2.3,Low
night,isolated,4,no,high,medium,4.21,High
night,rural,3,yes,high,low,3.93,Medium
morning,urban,2,no,high,high,1.14,Low
evening,rural,3,no,low,medium,3.08,High
night,urban,7,yes,low,low,0.99,High
afternoon,rural,5,no,high,medium,1.92,Low
afternoon,isolated,9,yes,medium,high,2.6,Medium
morning,isolated,6,no,medium,high,2.71,Medium
night,urban,7,yes,high,medium,3.53,High
afternoon,isolated,1,yes,high,high,0.48,Low
night,rural,4,no,medium,low,4.67,High
evening,urban,4,no,medium,low,3.42,High
morning,urban,7,yes,high,high,2.39,Low
night,rural,9,no,low,high,1.25,High
morning,isolated,6,no,high,high,2.72,Medium
night,urban,0,yes,high,high,0.49,Low
morning,isolated,5,yes,high,low,0.47,Low
afternoon,rural,9,yes,low,medium,1.53,Medium
evening,urban,8,no,high,high,3.96,Medium
evening,rural,2,no,medium,medium,0.74,Medium
night,isolated,10,no,low,high,4.65,High
night,isolated,3,no,low,high,4.32,High
morning,rural,10,yes,medium,high,1.21,Low
night,rural,3,no,high,low,1.98,Medium
afternoon,isolated,8,yes,high,high,0.79,Low
morning,rural,5,no,medium,high,0.57,Low
morning,rural,8,yes,medium,high,3.65,Medium
evening,urban,4,yes,low,low,3.82,High
evening,rural,4,yes,high,medium,3.56,Medium
night,urban,10,yes,medium,high,1.88,Medium
night,rural,6,yes,medium,low,2.95,High
night,isolated,0,no,high,high,3.75,Medium
evening,rural,6,no,medium,high,1.59,Medium
evening,isolated,6,no,low,low,0.48,High
evening,isolated,1,no,medium,high,1.34,Low
afternoon,rural,5,no,medium,medium,4.37,Medium
afternoon,urban,6,no,high,low,0.4,Medium
afternoon,isolated,6,yes,low,high,4.49,Medium
morning,rural,7,no,medium,medium,4.38,High
night,urban,1,no,low,medium,4.42,High
night,isolated,7,no,high,low,1.26,High
morning,isolated,4,yes,medium,medium,1.08,Low
evening,urban,3,yes,high,medium,2.4,Low
night,urban,3,no,high,high,2.07,Medium
morning,rural,2,yes,low,low,2.97,Medium
night,isolated,1,yes,medium,high,0.59,Low
morning,urban,10,yes,low,high,0.57,Medium
night,isolated,3,yes,medium,high,0.24,Low
afternoon,isolated,8,yes,medium,medium,2.11,Medium
night,isolated,6,yes,low,low,1.77,High
night,rural,1,no,medium,low,3.06,High
morning,urban,3,yes,high,high,3.12,Low
night,rural,5,no,medium,low,2.79,High
night,isolated,4,no,high,medium,4.59,High
afternoon,urban,10,no,medium,high,4.98,High
night,isolated,9,yes,low,low,0.35,High
night,urban,3,yes,low,medium,1.31,Medium
night,isolated,9,no,medium,high,4.79,High
morning,urban,8,yes,medium,medium,4.37,Medium
evening,urban,9,yes,high,medium,2.73,Medium
evening,isolated,7,yes,medium,medium,1.68,Medium
afternoon,urban,4,yes,high,high,0.99,Low
morning,urban,4,yes,low,high,3.09,Medium
evening,urban,8,yes,high,high,1.63,Low
afternoon,urban,4,yes,medium,low,0.46,Low
morning,isolated,8,no,low,high,4.31,High
evening,urban,10,no,low,low,3.61,High
morning,isolated,0,yes,high,high,1.45,Low
night,urban,1,yes,low,low,0.34,Medium
night,urban,6,yes,high,medium,3.88,High
night,rural,2,yes,medium,high,2.68,Medium
morning,urban,3,yes,low,medium,3.9,Medium
night,rural,6,no,high,high,0.63,Medium
night,rural,2,no,high,high,0.88,Medium
night,isolated,10,yes,medium,medium,2.84,High
morning,rural,8,yes,low,high,0.36,Low
evening,rural,8,yes,medium,low,0.86,Medium
afternoon,isolated,0,yes,high,high,2.87,Low
evening,isolated,4,no,medium,high,0.75,Medium
evening,rural,3,no,low,medium,2.79,Medium
evening,isolated,0,yes,high,low,4.43,Medium
evening,isolated,2,no,medium,low,3.84,High
afternoon,urban,5,no,low,high,0.59,Medium
morning,urban,5,no,low,high,2.95,Medium
afternoon,rural,8,no,low,high,1.48,Medium
afternoon,isolated,1,no,high,medium,4.53,Medium
morning,rural,7,yes,high,high,2.67,Low
night,urban,6,no,medium,low,3.47,High
morning,isolated,8,no,low,medium,1.06,Medium
evening,isolated,7,yes,medium,low,3.38,High
morning,isolated,3,no,medium,medium,4.73,Medium
afternoon,rural,3,yes,medium,low,4.89,Medium
afternoon,rural,9,yes,high,high,3.98,Medium
morning,rural,5,no,low,medium,3.25,High
morning,isolated,10,yes,low,low,0.63,Medium
morning,rural,8,no,low,low,1.49,High
night,rural,0,no,high,low,4.55,High
morning,rural,4,yes,low,low,1.24,Medium
morning,urban,0,no,high,high,3.66,Low
evening,rural,1,yes,high,high,4.04,Low
morning,isolated,8,no,low,high,1.99,Medium
morning,isolated,1,yes,low,low,3.88,Medium
night,urban,4,no,low,high,3.96,High
morning,isolated,9,yes,low,low,4.48,High
night,rural,5,yes,high,low,1.24,Medium
afternoon,isolated,8,yes,low,low,1.98,Medium
night,isolated,2,yes,high,low,1.28,Medium
afternoon,urban,4,no,high,high,0.23,Low
morning,isolated,7,yes,high,medium,3.15,Medium
morning,isolated,10,no,medium,high,2.31,Medium
evening,rural,0,yes,medium,low,3.38,Medium
morning,urban,7,no,low,high,3.86,High
morning,urban,7,yes,low,medium,2.79,Medium
night,isolated,8,no,high,low,1.69,High
night,urban,6,yes,high,high,3.52,Medium
afternoon,rural,8,no,high,medium,3.51,Medium
afternoon,isolated,8,no,high,low,0.24,Medium
morning,isolated,1,no,medium,medium,3.07,Medium
evening,urban,0,yes,medium,medium,1.07,Low
night,urban,0,yes,medium,low,1.75,Medium
morning,rural,6,yes,medium,low,1.27,Medium
evening,isolated,6,no,low,medium,2.62,High
night,isolated,4,yes,low,high,1.02,Medium
morning,urban,9,yes,high,medium,1.52,Low
morning,rural,4,no,medium,high,0.4,Low
evening,urban,8,no,low,low,2.54,High
morning,urban,3,no,low,high,0.89,Low
afternoon,rural,10,no,medium,medium,2.47,High
afternoon,urban,6,no,low,medium,4.54,High
afternoon,isolated,6,no,medium,high,1.01,Medium
night,isolated,0,yes,high,low,1.35,Medium
night,rural,8,no,high,medium,1.86,High
evening,rural,0,yes,low,high,3.83,Medium
afternoon,isolated,10,yes,medium,medium,3.23,Medium
evening,rural,0,yes,high,high,1.06,Low
night,urban,6,no,medium,low,3.74,High
afternoon,rural,4,no,low,medium,1.92,Medium
evening,rural,6,no,high,low,2.46,High
night,isolated,10,yes,low,high,2.93,High
evening,rural,2,no,low,low,2.08,High
afternoon,urban,10,yes,medium,low,4.85,High
night,rural,0,no,high,low,1.89,Medium
evening,rural,3,no,low,medium,4.81,High
evening,isolated,0,no,medium,low,3.81,High
evening,rural,9,yes,high,high,0.88,Low
evening,urban,9,yes,low,high,2.45,Medium
morning,isolated,7,yes,medium,high,4.05,Medium
afternoon,urban,5,yes,low,low,2.49,Medium
evening,isolated,1,yes,high,low,4.13,Medium
morning,urban,1,no,medium,high,2.57,Low
night,isolated,9,no,medium,low,4.28,High
night,rural,3,yes,low,high,4.3,Medium
night,urban,6,no,low,high,4.03,High
night,rural,6,no,high,medium,0.4,High
afternoon,isolated,7,no,high,high,3.45,Medium
afternoon,rural,10,yes,high,medium,3.09,Medium
afternoon,isolated,9,yes,high,medium,3.38,Medium
night,isolated,3,yes,low,medium,4.54,High
morning,rural,10,no,low,medium,0.37,High
night,rural,3,yes,medium,high,1.21,Low
night,rural,6,no,low,low,4.64,High
afternoon,urban,3,yes,medium,high,4.04,Low
afternoon,urban,6,no,medium,medium,4.9,High
afternoon,rural,1,no,low,medium,3.78,Medium
night,isolated,6,no,medium,medium,4.8,High
night,rural,8,no,medium,medium,3.44,High
morning,urban,6,no,low,high,3.9,High
afternoon,isolated,2,yes,high,low,3.6,Low
afternoon,isolated,7,no,medium,medium,1.18,Medium
afternoon,isolated,5,yes,medium,high,4.03,Low
morning,isolated,3,yes,high,high,4.8,Low
night,urban,7,yes,medium,high,3.69,High
morning,rural,6,no,low,high,0.41,Medium
evening,rural,0,no,low,low,3.0,High
morning,rural,9,yes,high,medium,2.14,Medium
evening,urban,10,yes,medium,low,2.39,High
afternoon,urban,8,no,high,low,0.94,Medium
evening,isolated,1,no,low,low,2.96,High
evening,isolated,6,yes,high,medium,3.53,Medium
night,urban,2,no,medium,high,2.51,Medium
afternoon,urban,2,no,medium,low,3.91,Medium
afternoon,isolated,3,yes,low,low,4.11,Medium
night,rural,6,yes,medium,medium,1.93,Medium
morning,urban,6,no,medium,medium,1.39,Medium
evening,rural,2,yes,low,low,3.14,Medium
afternoon,isolated,8,no,medium,high,4.18,Medium
afternoon,isolated,8,no,high,medium,0.75,Medium
night,rural,10,yes,high,high,4.84,High
morning,isolated,3,yes,high,low,0.94,Low
morning,isolated,6,yes,low,low,0.42,Medium
afternoon,urban,0,no,low,high,2.14,Medium
morning,isolated,3,no,medium,low,1.21,Medium
night,rural,0,yes,medium,high,4.26,Medium
afternoon,rural,0,no,medium,medium,2.97,Medium
afternoon,isolated,1,no,high,low,3.25,Medium
night,rural,3,yes,low,high,3.14,Medium
afternoon,urban,3,no,high,high,2.12,Low
night,urban,6,yes,high,low,3.78,High
afternoon,rural,6,yes,high,low,4.84,Medium
evening,isolated,0,no,medium,high,1.49,Low
night,isolated,3,yes,low,low,4.01,High
afternoon,rural,8,no,high,high,0.64,Low
morning,isolated,9,yes,medium,low,1.91,Medium
evening,isolated,4,no,low,low,0.73,High
afternoon,rural,4,no,low,high,0.96,Medium
evening,rural,6,yes,medium,medium,3.42,Medium
afternoon,rural,9,yes,low,medium,4.14,High
morning,isolated,5,no,high,high,0.3,Low
morning,rural,5,yes,high,medium,0.59,Low
night,isolated,4,no,high,high,3.17,High
afternoon,urban,6,no,low,high,4.15,High
afternoon,urban,1,no,high,high,3.5,Low
morning,isolated,7,no,high,medium,1.65,Medium
morning,isolated,6,yes,medium,low,3.39,Medium
evening,rural,0,no,low,low,1.52,Medium
morning,isolated,5,yes,high,low,0.32,Low
night,isolated,4,no,low,low,0.85,High
morning,urban,10,yes,low,high,0.23,Medium
evening,rural,3,no,low,low,2.72,High
morning,isolated,7,no,low,low,4.35,High
evening,isolated,7,yes,high,low,2.64,Medium
evening,isolated,3,no,high,medium,2.47,Medium
morning,urban,2,no,high,medium,3.83,Medium
morning,urban,2,no,medium,low,1.81,Medium
afternoon,urban,0,yes,medium,medium,3.52,Low
evening,isolated,10,yes,low,low,2.94,High
night,urban,7,yes,high,low,3.68,High
afternoon,isolated,10,yes,high,low,1.87,Medium
evening,urban,2,yes,low,low,0.51,Medium
afternoon,rural,5,no,low,low,3.53,High
night,rural,8,no,medium,low,1.87,High
evening,isolated,2,no,medium,high,0.38,Low
night,isolated,8,no,high,medium,1.76,High
evening,rural,0,no,high,high,4.38,Medium
morning,rural,6,no,medium,high,4.88,Medium
morning,rural,0,no,medium,high,4.32,Medium
evening,isolated,5,no,medium,high,4.39,Medium
night,urban,9,yes,medium,high,3.84,High
afternoon,isolated,3,yes,low,low,4.56,Medium
morning,isolated,2,no,high,high,0.44,Low
morning,isolated,5,yes,high,high,0.35,Low
evening,isolated,7,no,medium,medium,0.67,Medium
afternoon,rural,4,yes,medium,low,3.11,Medium
night,urban,0,yes,low,high,1.61,Medium
night,rural,9,no,low,medium,1.37,High
night,isolated,0,yes,high,low,2.11,Medium
evening,rural,2,no,medium,high,2.11,Medium
afternoon,isolated,4,no,medium,medium,3.22,Medium
morning,rural,5,yes,low,low,2.49,Medium
afternoon,isolated,10,yes,high,low,0.88,Medium
afternoon,isolated,0,yes,medium,medium,3.12,Low
morning,rural,7,no,medium,medium,3.53,High
night,urban,2,no,medium,low,4.35,High
morning,isolated,6,no,medium,low,1.14,Medium
afternoon,urban,1,no,high,medium,4.96,Medium
afternoon,urban,10,no,high,low,4.3,High
morning,rural,5,no,high,high,0.27,Low
morning,rural,10,yes,high,medium,3.72,Medium
morning,urban,5,no,low,high,4.22,Medium
night,urban,6,yes,low,high,2.1,High
morning,rural,1,yes,low,low,0.43,Low
morning,rural,0,yes,low,high,2.91,Low
night,isolated,4,no,high,medium,1.98,Medium
night,rural,5,yes,high,medium,0.98,Medium
night,rural,1,no,low,medium,4.87,High
afternoon,urban,10,yes,high,high,2.56,Low
morning,rural,3,no,high,low,4.13,Medium
afternoon,rural,4,no,high,medium,2.82,Medium
morning,urban,2,no,low,high,1.69,Low
night,isolated,6,no,medium,medium,3.41,High
night,rural,2,yes,medium,low,0.31,Medium
night,isolated,6,no,medium,high,3.35,High
evening,rural,8,yes,medium,high,0.24,Low
morning,urban,10,no,high,high,2.81,Medium
night,isolated,2,no,high,high,0.85,Medium
evening,rural,5,no,low,high,4.02,High
afternoon,isolated,1,no,medium,low,0.94,Medium
afternoon,isolated,10,yes,medium,medium,3.63,Medium
morning,rural,4,no,low,low,0.65,Medium
night,urban,1,no,low,low,2.14,High
morning,rural,4,yes,high,low,1.29,Low
night,rural,10,no,high,low,1.17,High
afternoon,rural,10,no,medium,high,4.81,High
evening,rural,7,no,high,medium,0.67,Medium
evening,urban,4,yes,low,low,0.91,Medium
morning,rural,7,yes,high,low,4.52,Medium
afternoon,rural,5,no,low,low,2.03,High
night,isolated,4,yes,medium,low,0.3,Medium
evening,isolated,4,no,low,high,1.11,Medium
evening,isolated,4,yes,high,medium,4.14,Medium
afternoon,rural,0,yes,low,medium,0.47,Low
evening,urban,9,yes,high,high,2.41,Medium
night,rural,7,yes,medium,medium,3.21,High
evening,urban,2,yes,high,medium,4.78,Low
afternoon,rural,3,no,high,medium,4.75,Medium
morning,rural,0,yes,low,low,4.62,Medium
evening,urban,5,yes,low,medium,0.92,Medium
night,isolated,2,no,medium,high,0.86,Medium
morning,rural,1,no,high,high,4.59,Low
night,rural,7,no,medium,high,4.01,High
morning,urban,3,no,low,low,0.93,Medium
morning,urban,6,yes,medium,medium,1.4,Low
evening,isolated,10,no,low,medium,0.66,High
afternoon,rural,1,no,medium,high,4.65,Medium
evening,isolated,10,yes,high,medium,1.09,Medium
night,rural,2,yes,low,medium,1.32,Medium
night,urban,10,no,medium,high,1.18,High
afternoon,urban,0,yes,low,medium,2.24,Low
evening,isolated,7,no,low,medium,5.0,High
afternoon,rural,7,yes,medium,low,0.33,Medium
evening,rural,6,no,medium,low,4.37,High
afternoon,isolated,3,yes,medium,high,2.9,Low
night,isolated,2,no,high,medium,4.95,High
afternoon,rural,2,yes,low,low,0.43,Low
morning,urban,5,yes,high,low,2.15,Low
night,urban,4,no,medium,medium,2.62,High
morning,rural,7,no,low,low,3.28,High
evening,isolated,3,yes,high,high,2.38,Low
morning,urban,7,no,low,low,4.3,High
morning,urban,4,yes,low,low,2.49,Medium
night,isolated,6,yes,high,low,0.48,Medium
evening,isolated,1,no,low,low,1.53,Medium
evening,rural,2,no,high,low,2.52,Medium
evening,rural,5,no,high,medium,1.93,Medium
evening,urban,0,no,high,low,3.58,Medium
afternoon,isolated,0,yes,low,high,4.05,Low
afternoon,rural,5,no,medium,low,1.6,Medium
night,isolated,4,no,low,medium,2.0,High
night,isolated,7,no,low,high,0.77,High
afternoon,rural,8,yes,medium,low,3.79,Medium
afternoon,urban,7,yes,high,medium,4.39,Medium
evening,rural,0,no,medium,high,2.44,Medium
afternoon,urban,9,yes,low,high,3.19,Medium
afternoon,isolated,5,yes,medium,medium,1.69,Low
afternoon,urban,9,yes,medium,medium,0.72,Medium
afternoon,rural,9,yes,high,low,2.27,Medium
evening,isolated,10,yes,low,medium,3.29,High
afternoon,rural,6,no,high,medium,2.72,Medium
afternoon,isolated,2,yes,medium,low,1.87,Low
morning,isolated,3,no,high,medium,1.98,Low
morning,isolated,4,no,high,high,4.69,Medium
afternoon,isolated,6,yes,low,medium,4.44,Medium
evening,urban,1,no,medium,high,1.47,Low
night,isolated,9,yes,low,medium,2.59,High
afternoon,urban,3,yes,high,low,1.03,Low
afternoon,urban,10,no,low,low,2.49,High
afternoon,urban,7,no,high,high,2.11,Medium
evening,rural,5,no,medium,medium,4.43,High
afternoon,isolated,1,yes,low,high,3.07,Low
night,urban,1,no,low,low,3.52,High
night,rural,4,yes,high,low,1.04,Medium
afternoon,rural,9,yes,medium,medium,4.21,Medium
night,urban,7,no,low,medium,4.42,High
evening,rural,6,yes,low,medium,1.54,Medium
afternoon,isolated,6,yes,low,medium,4.79,Medium
night,isolated,9,no,high,high,0.89,High
evening,rural,5,no,medium,high,2.3,Medium
afternoon,urban,0,no,high,low,1.03,Low
afternoon,rural,4,yes,low,low,2.37,Medium
night,urban,7,no,low,medium,2.82,High
night,rural,0,yes,low,medium,0.5,Medium
evening,urban,2,yes,medium,low,0.21,Low
afternoon,urban,1,yes,medium,medium,1.09,Low
afternoon,rural,0,yes,medium,medium,3.08,Low
morning,isolated,3,yes,medium,low,1.96,Low
afternoon,isolated,8,yes,low,high,1.94,Low
afternoon,urban,7,yes,low,medium,3.32,Medium
evening,isolated,2,no,low,high,1.45,Medium
evening,isolated,9,yes,low,high,3.56,High
afternoon,rural,7,no,medium,medium,4.16,High
afternoon,isolated,10,no,low,low,0.35,High
night,rural,8,no,medium,high,0.37,High
evening,rural,7,yes,low,high,0.35,Medium
evening,isolated,7,no,medium,medium,0.29,Medium
night,urban,0,yes,low,high,4.42,Medium
morning,isolated,9,yes,medium,low,3.9,High
afternoon,urban,2,no,low,high,3.91,Medium
afternoon,isolated,1,yes,high,low,2.64,Low
evening,isolated,8,no,medium,high,2.07,Medium
afternoon,rural,8,no,high,medium,2.46,Medium
night,isolated,2,yes,high,medium,2.7,Medium
evening,urban,9,yes,low,medium,2.28,High
afternoon,isolated,6,yes,low,high,4.41,Medium
morning,urban,9,yes,low,medium,4.16,High
morning,isolated,2,yes,low,low,3.59,Medium
night,urban,1,no,low,low,1.32,High
night,urban,8,yes,low,medium,3.45,High
afternoon,urban,8,no,high,low,4.59,High
afternoon,isolated,8,no,low,low,1.27,High
evening,rural,3,yes,medium,high,2.17,Low
morning,rural,2,yes,high,medium,3.44,Low
morning,rural,10,no,low,medium,1.51,High
afternoon,rural,2,no,medium,medium,1.47,Low
evening,urban,8,no,low,medium,1.55,High
morning,urban,6,yes,low,low,4.71,High
morning,urban,2,no,low,medium,0.32,Medium
afternoon,isolated,4,no,high,medium,0.21,Low
evening,rural,9,no,high,medium,2.5,High
afternoon,urban,9,yes,high,high,4.99,Medium
afternoon,isolated,5,no,high,medium,2.99,Medium
evening,isolated,4,no,low,medium,2.27,High
morning,rural,3,yes,high,low,0.42,Low
morning,urban,6,no,high,low,3.95,High
night,urban,3,no,high,low,0.27,Medium
evening,urban,7,no,medium,medium,1.81,Medium
evening,urban,1,yes,medium,low,4.33,Medium
afternoon,urban,6,yes,medium,medium,2.98,Medium
evening,isolated,0,yes,high,low,3.81,Medium
evening,urban,5,yes,high,medium,0.52,Low
afternoon,urban,7,yes,high,medium,4.62,Medium
afternoon,isolated,0,yes,high,medium,3.62,Low
night,urban,2,no,high,medium,2.39,Medium
afternoon,urban,1,yes,medium,high,2.94,Low
afternoon,isolated,6,yes,medium,medium,1.57,Low
night,rural,2,no,high,high,4.43,Medium
evening,urban,1,no,medium,low,1.92,Medium
evening,isolated,8,no,low,high,4.8,High
afternoon,urban,4,yes,medium,high,4.61,Low
night,isolated,8,yes,high,medium,1.36,Medium
afternoon,isolated,3,no,medium,high,3.39,Medium
morning,rural,7,yes,low,high,3.0,Medium
morning,rural,3,no,high,high,2.09,Low
night,rural,7,yes,low,high,1.96,Medium
evening,rural,8,no,medium,high,0.97,Medium
morning,urban,0,no,medium,low,0.53,Medium
afternoon,urban,9,no,medium,high,0.7,Medium
evening,isolated,10,yes,high,medium,4.73,Medium
evening,urban,10,no,medium,medium,3.96,High
afternoon,rural,3,no,high,medium,4.09,Medium
afternoon,isolated,0,no,low,high,3.58,Medium
morning,urban,3,no,high,high,4.24,Low
night,urban,1,no,medium,low,0.87,High
evening,isolated,2,no,high,high,1.18,Low
afternoon,isolated,7,yes,high,low,2.92,Medium
afternoon,rural,7,yes,high,high,1.64,Low
night,isolated,2,no,low,high,2.62,High
afternoon,urban,2,yes,high,medium,4.1,Low
morning,urban,8,no,high,medium,4.48,Medium
morning,isolated,4,no,medium,high,4.6,Medium
night,isolated,5,no,high,low,0.49,High
evening,isolated,2,no,low,high,4.93,Medium
afternoon,isolated,5,yes,medium,low,2.05,Medium
night,urban,0,yes,medium,high,2.25,Medium
afternoon,urban,7,yes,medium,high,0.81,Low
morning,isolated,7,no,low,medium,4.81,High
afternoon,isolated,4,no,low,high,3.68,Medium
afternoon,isolated,0,yes,low,low,1.94,Low
morning,isolated,1,yes,high,medium,3.99,Low
evening,isolated,1,no,medium,medium,1.82,Medium
night,isolated,9,no,high,medium,1.77,High
morning,rural,4,yes,low,low,3.41,Medium
night,urban,8,yes,low,low,4.83,High
night,isolated,10,yes,medium,low,3.71,High
morning,rural,6,yes,medium,low,1.14,Medium
morning,urban,1,yes,medium,high,2.92,Low
morning,isolated,7,yes,medium,medium,1.51,Low
afternoon,rural,2,no,low,low,4.78,High
night,urban,0,no,medium,medium,0.95,Medium
evening,urban,6,yes,high,medium,2.92,Medium
morning,urban,0,no,high,low,0.2,Low
afternoon,isolated,2,no,high,medium,2.77,Low
night,urban,0,yes,high,high,1.33,Low
night,rural,10,yes,medium,low,1.43,High
night,isolated,10,yes,medium,medium,1.02,High
night,urban,10,no,medium,low,2.9,High
afternoon,urban,8,no,high,high,2.09,Medium
evening,isolated,2,no,low,medium,3.69,High
evening,rural,0,no,medium,low,0.75,Medium
morning,rural,4,no,low,low,1.77,Medium
night,urban,3,no,high,medium,0.76,Medium
morning,rural,0,no,high,high,0.77,Low
